time,x,y,z,MF
6.684,-1.39,18.58,-35.59,40.17
6.704,0.00,19.98,-34.91,40.22
6.724,-1.39,21.37,-34.91,40.95
6.744,-2.09,19.98,-35.59,40.86
6.768,-1.39,19.98,-34.91,40.24
6.785,-2.79,20.67,-33.55,39.50
6.806,-0.69,19.28,-34.23,39.29
6.825,-2.09,18.58,-34.91,39.60
6.845,-2.09,20.67,-34.91,40.62
6.865,-2.09,19.98,-36.27,41.46
6.885,-2.79,19.98,-34.91,40.31
6.914,-1.39,19.98,-35.59,40.83
6.924,-0.69,19.28,-34.23,39.29
6.945,-1.39,21.37,-35.59,41.53
6.965,0.00,19.98,-34.91,40.22
6.986,-2.09,18.58,-34.91,39.60
7.007,-1.39,20.67,-34.91,40.59
7.028,0.00,19.98,-34.91,40.22
7.046,0.70,19.98,-33.55,39.05
7.065,-1.39,19.98,-34.23,39.65
7.086,-0.69,20.67,-34.23,39.99
7.108,-2.09,19.28,-35.59,40.52
7.129,-2.79,20.67,-36.94,42.43
7.147,-2.79,18.58,-35.59,40.24
7.170,-1.39,20.67,-34.91,40.59
7.186,-1.39,19.28,-34.91,39.90
7.206,-2.09,19.28,-34.23,39.34
7.228,-0.69,19.98,-35.59,40.81
7.247,-2.09,18.58,-34.23,39.00
7.268,-0.69,18.58,-35.59,40.15
7.287,-2.09,19.98,-34.91,40.27
7.307,-1.39,19.98,-34.91,40.24
7.328,0.00,18.58,-34.23,38.94
7.349,-2.09,19.98,-32.87,38.52
7.368,-1.39,19.98,-35.59,40.83
7.388,-2.79,19.98,-33.55,39.14
7.408,-1.39,20.67,-34.91,40.59
7.428,-1.39,20.67,-34.23,40.01
7.448,-1.39,18.58,-34.23,38.97
7.469,-0.69,19.98,-34.23,39.64
7.489,-1.39,19.98,-33.55,39.07
7.509,-1.39,19.98,-35.59,40.83
7.529,-0.69,19.28,-34.91,39.88
7.549,-0.69,21.37,-36.27,42.10
7.570,-0.69,19.98,-34.23,39.64
7.594,-0.69,20.67,-34.23,39.99
7.610,-1.39,18.58,-34.91,39.57
7.630,-1.39,20.67,-33.55,39.43
7.652,0.00,20.67,-34.91,40.57
7.670,-1.39,18.58,-34.91,39.57
7.691,-2.09,19.98,-32.87,38.52
7.710,-1.39,20.67,-34.91,40.59
7.733,-2.09,20.67,-36.27,41.80
7.751,-0.69,19.98,-34.23,39.64
7.771,-1.39,20.67,-34.91,40.59
7.794,-0.69,19.98,-34.91,40.22
7.813,-1.39,19.98,-36.27,41.43
7.832,-2.79,21.37,-34.91,41.02
7.851,-0.69,21.37,-34.91,40.93
7.874,-0.69,18.58,-32.19,37.17
7.894,-0.69,20.67,-34.23,39.99
7.912,0.00,19.98,-34.91,40.22
7.932,-1.39,18.58,-32.87,37.78
7.953,-2.79,20.67,-34.91,40.66
7.972,-1.39,17.88,-34.91,39.24
7.992,-1.39,19.98,-34.91,40.24
8.014,-3.49,22.07,-36.94,43.18
8.033,-0.69,20.67,-34.23,39.99
8.055,-1.39,19.98,-34.91,40.24
8.073,-1.39,20.67,-35.59,41.18
8.092,0.00,19.98,-34.23,39.63
8.114,-0.69,19.98,-36.94,42.00
8.148,-1.39,20.67,-33.55,39.43
8.153,-2.09,19.98,-33.55,39.10
8.174,-0.69,18.58,-36.27,40.75
8.195,-1.39,19.28,-34.91,39.90
8.214,-1.39,19.28,-34.23,39.31
8.234,-2.09,18.58,-34.91,39.60
8.255,-2.09,19.98,-34.91,40.27
8.279,-2.09,19.28,-34.91,39.93
8.295,-2.09,19.98,-34.91,40.27
8.314,-2.09,21.37,-36.27,42.15
8.336,-2.09,19.98,-34.23,39.68
8.356,-0.69,19.98,-33.55,39.05
8.375,-2.09,20.67,-34.91,40.62
8.395,-2.09,19.98,-34.23,39.68
8.416,-2.09,18.58,-34.23,39.00
8.436,-1.39,18.58,-35.59,40.17
8.455,-0.69,19.98,-35.59,40.81
8.479,-1.39,20.67,-34.91,40.59
8.498,-2.09,20.67,-34.91,40.62
8.516,0.00,19.98,-34.91,40.22
8.537,-0.69,22.07,-34.23,40.73
8.556,-2.09,19.98,-33.55,39.10
8.576,-1.39,19.28,-33.55,38.72
8.599,-0.69,21.37,-34.23,40.36
8.618,-0.69,19.28,-34.23,39.29
8.639,-2.79,19.98,-34.91,40.31
8.657,-1.39,19.28,-36.27,41.09
8.679,-1.39,19.98,-34.23,39.65
8.698,-2.09,19.98,-34.23,39.68
8.722,-2.09,19.98,-34.91,40.27
8.739,-0.69,20.67,-33.55,39.41
8.759,-0.69,19.98,-34.91,40.22
8.779,-2.09,18.58,-35.59,40.20
8.799,-2.79,19.98,-32.87,38.56
8.818,-0.69,20.67,-33.55,39.41
8.841,-0.69,19.28,-35.59,40.48
8.859,-0.69,20.67,-33.55,39.41
8.879,-2.79,19.98,-36.27,41.50
8.898,-0.69,21.37,-35.59,41.52
8.919,-0.69,22.07,-33.55,40.16
8.941,-1.39,19.98,-35.59,40.83
8.961,0.00,19.98,-34.91,40.22
8.980,-0.69,20.67,-35.59,41.16
9.000,-2.79,19.28,-34.91,39.97
9.019,-0.69,19.98,-34.23,39.64
9.039,-2.09,19.28,-34.91,39.93
9.060,-2.79,19.98,-34.91,40.31
9.081,-0.69,20.67,-33.55,39.41
9.100,-3.49,19.98,-34.23,39.78
9.125,-0.69,19.98,-34.23,39.64
9.141,-0.69,19.28,-34.91,39.88
9.161,-0.69,21.37,-34.91,40.93
9.180,-0.69,20.67,-34.91,40.57
9.205,-2.79,19.28,-34.91,39.97
9.221,-2.09,20.67,-34.91,40.62
9.242,0.00,19.98,-34.23,39.63
9.262,0.00,19.28,-34.91,39.87
9.281,0.70,20.67,-32.87,38.84
9.310,-1.39,20.67,-35.59,41.18
9.325,-2.09,21.37,-36.27,42.15
9.342,0.00,18.58,-35.59,40.14
9.362,-1.39,20.67,-34.23,40.01
9.382,-1.39,18.58,-34.23,38.97
9.405,-1.39,20.67,-34.91,40.59
9.423,-1.39,20.67,-34.91,40.59
9.443,-2.09,20.67,-34.91,40.62
9.465,-1.39,19.98,-36.27,41.43
