time,x,y,z,MF
5.441,13.54,-12.15,-58.68,61.44
5.456,13.64,-11.95,-58.61,61.35
5.470,13.94,-12.15,-59.17,61.99
5.490,13.72,-12.09,-58.93,61.70
5.517,13.36,-12.08,-58.54,61.24
5.528,13.47,-12.13,-58.96,61.68
5.550,13.66,-12.16,-59.01,61.78
5.571,13.84,-12.03,-58.57,61.37
5.587,13.60,-12.00,-59.11,61.83
5.607,14.02,-12.21,-58.80,61.67
5.634,14.02,-12.09,-58.76,61.61
5.643,13.46,-11.92,-59.11,61.78
5.665,13.43,-12.17,-58.86,61.58
5.692,13.84,-12.11,-58.56,61.38
5.704,13.63,-12.14,-58.78,61.55
5.724,13.52,-12.09,-58.91,61.64
5.740,13.66,-12.12,-59.06,61.82
5.758,13.35,-12.04,-58.58,61.28
5.777,13.42,-11.98,-58.92,61.60
5.797,13.59,-12.10,-58.69,61.44
5.821,13.77,-11.90,-58.85,61.60
5.838,13.71,-11.97,-58.93,61.68
5.855,13.77,-12.17,-58.83,61.64
5.875,14.00,-11.92,-58.96,61.76
5.894,13.66,-12.08,-58.41,61.19
5.915,13.42,-12.02,-58.91,61.61
5.933,13.55,-12.07,-58.59,61.34
5.953,14.12,-12.14,-58.67,61.55
5.973,14.19,-12.07,-58.40,61.30
5.990,13.83,-12.03,-58.66,61.46
6.010,13.97,-12.09,-58.80,61.64
6.033,13.74,-12.23,-58.59,61.41
6.046,13.52,-12.01,-58.92,61.63
6.067,13.78,-12.10,-58.70,61.50
6.092,14.10,-12.16,-58.30,61.20
6.105,13.77,-12.09,-58.84,61.62
6.140,13.88,-12.17,-58.74,61.58
6.142,13.73,-12.22,-58.69,61.50
6.163,13.57,-12.13,-58.91,61.66
6.185,13.46,-12.20,-58.44,61.20
6.205,13.75,-11.96,-58.47,61.25
6.224,13.82,-12.09,-58.79,61.60
6.261,13.63,-12.02,-58.79,61.53
6.263,13.45,-11.99,-59.24,61.92
6.276,13.19,-11.80,-58.78,61.38
6.297,13.47,-11.90,-58.92,61.60
6.319,13.50,-12.00,-58.55,61.27
6.340,13.92,-12.09,-58.80,61.62
6.370,13.40,-12.12,-58.58,61.30
6.374,13.49,-11.99,-58.64,61.36
6.393,13.51,-12.28,-58.48,61.27
6.415,13.47,-12.17,-58.95,61.68
6.441,13.50,-12.19,-58.54,61.30
6.451,13.42,-11.93,-58.97,61.64
6.472,13.78,-12.02,-58.75,61.53
6.490,13.67,-12.13,-58.23,61.03
6.510,13.83,-12.10,-58.70,61.51
6.538,13.53,-12.14,-58.77,61.52
6.547,13.47,-12.17,-58.95,61.68
6.568,13.18,-12.02,-58.90,61.54
6.587,13.56,-12.24,-58.40,61.19
6.623,13.45,-12.19,-58.58,61.33
6.627,13.77,-12.32,-58.26,61.12
6.642,13.48,-12.25,-58.85,61.61
6.662,13.62,-12.02,-58.83,61.57
6.686,13.44,-11.99,-58.73,61.43
6.704,13.64,-12.07,-58.65,61.41
6.724,13.53,-12.21,-58.21,61.00
6.743,13.69,-12.26,-58.63,61.45
6.767,13.57,-12.24,-58.35,61.15
6.781,13.54,-12.10,-59.33,62.05
6.797,13.23,-12.02,-58.95,61.60
6.816,13.38,-12.06,-58.86,61.56
6.838,13.48,-12.17,-58.86,61.60
6.855,13.45,-12.08,-58.59,61.31
6.877,13.60,-12.11,-58.55,61.32
6.894,13.57,-12.36,-58.39,61.21
6.913,13.36,-12.19,-58.57,61.30
6.936,13.73,-12.10,-58.74,61.53
6.957,13.07,-12.09,-58.52,61.16
6.974,13.24,-12.10,-58.20,60.90
6.994,13.36,-12.04,-58.49,61.19
7.009,13.49,-12.11,-58.63,61.37
7.029,13.75,-12.27,-58.50,61.33
7.063,13.59,-12.23,-58.63,61.42
7.071,13.59,-12.27,-58.63,61.42
7.087,13.65,-12.23,-58.59,61.39
7.110,13.49,-12.18,-58.77,61.51
7.129,13.48,-12.25,-58.25,61.03
7.147,13.46,-12.28,-58.44,61.21
7.179,13.41,-12.08,-58.49,61.21
7.183,13.59,-12.22,-58.68,61.46
7.203,13.44,-12.06,-58.77,61.48
7.221,13.58,-12.10,-58.73,61.49
7.240,13.45,-12.08,-58.59,61.31
7.263,13.67,-12.09,-58.83,61.60
7.281,13.41,-12.16,-58.53,61.27
7.297,13.54,-12.26,-58.67,61.45
7.316,13.57,-12.25,-58.91,61.68
7.347,13.66,-12.20,-58.45,61.25
7.358,13.44,-12.14,-58.72,61.45
7.376,13.45,-12.19,-58.63,61.37
7.395,13.49,-12.34,-58.11,60.92
7.419,13.14,-12.22,-58.24,60.94
7.432,13.51,-12.20,-58.40,61.17
7.458,13.89,-12.27,-58.51,61.37
7.470,13.28,-12.17,-58.94,61.63
7.490,13.40,-11.88,-58.55,61.23
7.510,13.51,-12.20,-58.40,61.17
7.531,13.65,-12.16,-58.50,61.29
7.550,13.57,-12.32,-58.39,61.20
7.579,13.51,-12.28,-58.48,61.27
7.588,13.60,-12.15,-58.54,61.32
7.613,13.61,-12.16,-58.41,61.19
7.623,13.31,-12.16,-58.53,61.24
7.645,13.47,-12.28,-58.34,61.12
7.671,13.62,-12.28,-58.31,61.12
7.694,13.60,-12.19,-58.54,61.32
7.715,13.55,-12.12,-58.54,61.30
7.719,13.32,-12.09,-59.00,61.68
7.739,13.44,-12.03,-58.68,61.39
7.758,13.37,-12.16,-58.44,61.17
7.781,13.85,-12.04,-58.47,61.29
7.801,13.21,-12.23,-58.61,61.31
7.817,13.66,-12.20,-58.41,61.21
7.836,13.30,-12.19,-58.66,61.37
7.867,13.51,-12.28,-58.39,61.18
7.875,13.31,-12.24,-58.52,61.25
7.894,13.54,-12.26,-58.07,60.88
7.915,13.84,-12.34,-57.99,60.88
7.955,13.51,-12.16,-58.45,61.21
7.957,13.52,-12.44,-58.33,61.16
7.977,13.39,-12.15,-58.72,61.44
7.990,13.38,-12.25,-58.85,61.58
8.011,13.55,-12.19,-58.63,61.40
8.029,13.55,-12.27,-58.58,61.37
8.060,13.56,-12.43,-58.52,61.34
8.075,13.32,-12.13,-58.99,61.68
8.084,13.29,-11.99,-58.82,61.48
8.104,13.76,-12.16,-58.97,61.76
8.124,13.45,-12.08,-58.59,61.31
8.143,13.22,-12.16,-58.47,61.17
8.162,13.35,-12.12,-58.58,61.29
8.182,13.28,-12.33,-58.33,61.08
8.203,13.82,-12.29,-58.18,61.05
8.221,13.41,-12.12,-58.49,61.22
8.240,13.54,-12.26,-58.72,61.49
8.269,13.63,-12.29,-58.77,61.57
8.279,13.48,-12.29,-58.90,61.66
8.297,13.65,-12.08,-58.46,61.24
8.317,13.77,-12.21,-58.23,61.07
8.339,13.62,-12.25,-58.26,61.07
8.361,13.64,-12.10,-58.69,61.46
8.382,13.46,-12.23,-58.53,61.29
8.392,13.32,-12.01,-59.00,61.67
8.412,13.28,-12.13,-58.94,61.63
8.432,13.36,-12.28,-58.52,61.27
8.462,13.30,-12.27,-58.70,61.43
8.476,13.47,-12.13,-59.00,61.72
8.490,13.30,-12.19,-58.71,61.42
8.511,13.67,-12.25,-58.91,61.71
8.528,13.45,-12.27,-58.62,61.38
8.549,13.49,-12.22,-58.72,61.48
8.574,13.36,-12.19,-58.57,61.30
8.589,13.37,-12.36,-58.42,61.19
8.604,13.32,-12.21,-58.38,61.12
8.623,13.58,-12.18,-58.77,61.54
8.643,13.73,-12.25,-58.82,61.63
8.669,13.47,-12.09,-58.96,61.67
8.681,13.28,-12.14,-58.90,61.58
8.701,13.28,-12.25,-58.29,61.02
8.722,13.86,-12.17,-58.28,61.13
8.739,13.46,-12.28,-58.44,61.21
8.769,13.55,-12.16,-58.49,61.26
8.776,13.61,-12.01,-58.97,61.70
8.797,13.51,-12.12,-58.49,61.24
8.818,13.44,-12.06,-58.77,61.48
8.839,13.41,-12.31,-58.57,61.33
8.856,13.61,-12.12,-58.41,61.19
8.895,13.57,-12.17,-58.36,61.13
8.898,13.50,-12.08,-58.54,61.28
8.912,13.61,-12.05,-58.32,61.09
8.934,13.42,-12.09,-58.40,61.13
8.953,13.76,-12.12,-58.37,61.18
8.976,13.48,-12.22,-58.81,61.56
8.989,13.24,-12.10,-58.85,61.52
9.011,13.75,-12.15,-58.51,61.32
9.032,13.69,-12.18,-58.64,61.44
9.047,13.50,-12.15,-58.58,61.34
9.082,13.51,-11.97,-58.37,61.09
9.084,13.71,-12.12,-58.41,61.21
9.104,13.50,-12.03,-58.59,61.32
9.123,13.76,-12.12,-58.37,61.18
9.142,13.60,-12.15,-58.54,61.32
9.172,13.54,-11.88,-58.61,61.31
9.183,13.59,-11.87,-58.66,61.37
9.202,13.72,-12.01,-58.24,61.02
9.219,13.42,-12.05,-58.36,61.08
9.241,13.86,-12.17,-58.28,61.13
9.261,13.62,-12.02,-58.23,61.00
9.293,13.60,-12.12,-58.45,61.23
9.297,13.60,-12.00,-58.46,61.21
9.322,13.76,-11.89,-58.34,61.11
9.337,13.36,-11.85,-58.41,61.08
9.359,13.51,-11.81,-58.38,61.08
9.381,13.70,-12.00,-58.51,61.28
9.400,13.40,-11.92,-58.60,61.28
9.414,13.46,-11.82,-58.33,61.02
9.431,13.49,-11.72,-58.57,61.24
9.450,13.38,-11.90,-58.22,60.92
9.476,13.14,-11.95,-58.21,60.86
9.491,12.83,-11.90,-58.42,60.99
9.509,12.72,-12.21,-57.98,60.60
9.529,12.91,-12.43,-58.07,60.77
9.546,12.81,-12.66,-58.14,60.86
9.581,12.98,-12.87,-57.90,60.72
9.586,12.94,-13.03,-57.80,60.64
9.617,12.96,-13.32,-57.59,60.51
9.626,13.34,-13.42,-57.65,60.68
9.653,13.40,-13.58,-57.64,60.72
9.672,13.05,-13.12,-57.66,60.55
9.679,12.81,-13.20,-57.59,60.46
9.702,13.15,-13.00,-56.98,59.90
9.721,12.83,-13.26,-56.75,59.68
9.742,12.50,-13.66,-56.66,59.61
9.757,12.60,-13.85,-56.70,59.71
9.793,12.53,-13.95,-56.92,59.93
9.802,12.29,-14.03,-56.99,59.97
9.821,12.34,-14.30,-57.02,60.07
9.835,12.02,-14.40,-57.37,60.35
9.853,11.64,-14.45,-57.34,60.27
9.877,11.87,-14.78,-57.56,60.60
9.904,11.45,-14.91,-58.04,61.00
9.914,11.99,-15.22,-58.56,61.68
9.930,12.14,-15.80,-58.62,61.91
9.951,12.69,-15.95,-59.15,62.56
9.981,13.38,-16.02,-59.04,62.62
9.991,13.83,-15.76,-59.37,62.96
10.010,14.37,-15.68,-59.27,62.97
10.028,15.06,-15.14,-59.07,62.81
10.047,15.15,-14.63,-59.02,62.66
10.083,15.17,-14.38,-58.71,62.32
10.089,15.36,-13.83,-58.72,62.25
10.108,15.17,-13.57,-58.54,61.98
10.122,14.73,-13.38,-58.57,61.86
10.144,14.60,-13.05,-58.31,61.51
10.168,14.72,-13.03,-58.60,61.81
10.183,14.63,-12.77,-58.42,61.57
10.212,14.43,-12.80,-58.60,61.69
10.220,14.25,-12.54,-59.07,62.04
10.240,13.98,-12.49,-58.68,61.60
10.259,13.99,-12.53,-58.63,61.57
10.281,13.88,-12.53,-58.72,61.63
10.302,13.66,-12.16,-58.45,61.25
10.316,13.73,-12.41,-58.21,61.08
10.340,14.03,-12.45,-58.69,61.61
10.358,13.78,-12.29,-58.73,61.57
10.381,13.49,-12.18,-58.72,61.47
10.392,13.54,-12.07,-59.29,62.00
10.412,13.60,-12.15,-58.54,61.32
10.431,13.86,-12.24,-58.37,61.23
10.450,13.86,-12.24,-58.37,61.23
10.486,13.88,-12.30,-58.69,61.55
10.492,13.74,-12.38,-58.63,61.48
10.508,13.56,-12.35,-58.48,61.29
10.529,13.75,-12.23,-58.50,61.33
10.551,13.71,-12.20,-58.36,61.18
10.569,13.69,-12.27,-58.59,61.41
10.602,13.45,-12.27,-58.62,61.38
10.611,13.78,-12.06,-58.70,61.49
10.630,13.71,-12.16,-58.36,61.17
10.641,13.43,-12.14,-58.86,61.58
10.662,13.39,-12.22,-58.76,61.49
10.682,13.55,-12.08,-58.55,61.30
10.704,13.50,-12.23,-58.53,61.30
10.720,13.51,-12.20,-58.44,61.21
10.740,13.82,-12.13,-58.88,61.69
10.757,13.82,-12.28,-58.87,61.71
10.778,13.23,-12.25,-59.03,61.72
10.795,13.29,-12.22,-58.80,61.51
10.816,13.31,-12.46,-58.64,61.41
10.836,13.90,-12.39,-58.41,61.30
10.855,13.40,-12.15,-58.67,61.40
10.873,13.59,-12.10,-58.69,61.44
10.894,13.67,-12.16,-58.96,61.74
10.913,13.19,-12.14,-58.80,61.47
10.932,13.46,-12.32,-58.43,61.22
