time,x,y,z,MF
10.729,-7.77,-15.54,-73.82,75.84
10.758,-9.86,-15.54,-71.78,74.11
10.764,-9.16,-17.64,-71.10,73.83
10.786,-8.46,-16.24,-73.14,75.40
10.806,-9.16,-17.64,-73.82,76.45
10.829,-7.77,-15.54,-73.14,75.18
10.847,-7.77,-16.24,-73.14,75.33
10.866,-9.16,-16.24,-72.46,74.82
10.886,-8.46,-16.94,-71.78,74.24
10.910,-7.77,-16.94,-71.78,74.16
10.926,-8.46,-16.94,-72.46,74.90
10.946,-8.46,-16.24,-71.78,74.08
10.971,-9.16,-17.64,-71.78,74.49
10.988,-7.77,-16.24,-72.46,74.67
11.007,-9.86,-17.64,-73.14,75.88
11.029,-8.46,-16.94,-73.82,76.21
11.047,-9.86,-16.24,-72.46,74.91
11.067,-7.77,-16.94,-72.46,74.82
11.088,-8.46,-16.94,-73.14,75.56
11.108,-9.16,-14.85,-73.14,75.20
11.128,-9.16,-16.24,-72.46,74.82
11.147,-8.46,-16.24,-71.78,74.08
11.168,-7.77,-16.94,-71.78,74.16
11.190,-7.77,-15.54,-73.14,75.18
11.210,-8.46,-16.94,-72.46,74.90
11.228,-9.16,-16.94,-73.14,75.64
11.248,-9.86,-16.24,-72.46,74.91
11.268,-9.16,-16.94,-73.82,76.29
11.288,-9.16,-15.54,-71.78,74.02
11.309,-8.46,-16.94,-75.18,77.53
11.331,-9.86,-16.94,-73.14,75.73
11.350,-9.16,-17.64,-74.50,77.11
11.371,-8.46,-16.24,-73.82,76.06
11.390,-8.46,-16.94,-73.82,76.21
11.409,-9.16,-15.54,-72.46,74.68
11.429,-7.07,-16.94,-74.50,76.73
11.470,-7.07,-16.94,-73.82,76.07
11.472,-9.16,-14.85,-72.46,74.53
11.491,-9.16,-16.94,-73.82,76.29
11.511,-7.77,-16.24,-72.46,74.67
11.531,-7.07,-16.24,-71.78,73.94
11.551,-7.77,-16.94,-73.14,75.48
11.584,-9.16,-16.24,-73.82,76.14
11.595,-8.46,-16.24,-71.10,73.43
11.611,-7.77,-16.24,-72.46,74.67
11.633,-9.86,-17.64,-73.14,75.88
11.654,-9.16,-16.94,-73.82,76.29
11.673,-8.46,-16.94,-73.14,75.56
11.704,-9.16,-15.54,-73.14,75.34
11.711,-9.86,-15.54,-73.82,76.08
11.731,-7.77,-14.85,-71.78,73.71
11.752,-6.37,-16.24,-71.78,73.87
11.773,-9.16,-14.15,-71.78,73.74
11.795,-7.77,-16.24,-74.50,76.65
11.814,-9.16,-15.54,-72.46,74.68
11.841,-7.77,-16.94,-72.46,74.82
11.856,-9.86,-16.24,-73.82,76.23
11.872,-8.46,-16.94,-74.50,76.87
11.897,-7.77,-16.94,-72.46,74.82
11.913,-7.77,-17.64,-73.14,75.64
11.935,-8.46,-15.54,-73.82,75.92
11.954,-8.46,-15.54,-73.14,75.26
11.978,-7.77,-16.24,-71.78,74.01
11.995,-8.46,-15.54,-73.14,75.26
12.015,-9.86,-16.24,-71.78,74.26
12.036,-9.16,-17.64,-73.82,76.45
12.056,-9.16,-15.54,-73.14,75.34
12.077,-9.16,-15.54,-73.82,76.00
12.094,-8.46,-17.64,-71.78,74.40
12.115,-7.07,-16.24,-73.14,75.26
12.135,-8.46,-16.94,-73.14,75.56
12.154,-8.46,-16.24,-71.78,74.08
12.176,-8.46,-16.24,-72.46,74.74
