time,x,y,z
6490,99,-61,-831
6500,97,-59,-821
6509,101,-63,-823
6519,101,-57,-831
6529,109,-55,-821
6539,99,-55,-825
6549,94,-68,-822
6559,97,-61,-825
6569,100,-58,-816
6578,101,-61,-823
6588,97,-63,-821
6598,102,-62,-822
6608,92,-62,-822
6618,102,-56,-818
6628,100,-62,-824
6638,99,-59,-829
6647,96,-52,-820
6657,102,-60,-822
6667,102,-54,-824
6677,97,-65,-821
6687,96,-60,-822
6697,103,-49,-825
6707,102,-54,-824
6716,96,-66,-828
6726,96,-60,-822
6736,106,-48,-822
6746,101,-57,-827
6756,91,-61,-823
6766,98,-62,-820
6776,103,-61,-821
6785,104,-60,-816
6795,97,-59,-825
6805,102,-62,-822
6815,100,-58,-824
6825,109,-59,-827
6835,98,-52,-824
6845,98,-60,-828
6854,89,-55,-815
6864,106,-58,-828
6874,99,-63,-831
6884,100,-56,-820
6894,100,-60,-816
6904,90,-54,-824
6914,107,-55,-823
6923,99,-53,-817
6933,99,-63,-833
6943,97,-59,-823
6953,102,-58,-822
6963,95,-59,-825
6973,104,-56,-826
6983,107,-65,-817
6992,94,-62,-816
7002,108,-54,-816
7012,100,-54,-816
7022,97,-61,-823
7032,102,-58,-824
7042,97,-61,-821
7052,98,-62,-820
7061,96,-58,-826
7071,97,-57,-823
7081,97,-61,-823
7091,100,-58,-820
7101,98,-62,-822
7111,96,-62,-818
7121,102,-62,-830
7131,98,-62,-830
7140,101,-59,-829
7150,107,-65,-817
7160,95,-57,-829
7170,97,-55,-825
7180,103,-55,-823
7190,102,-44,-824
7200,100,-60,-818
7209,96,-52,-822
7219,95,-57,-825
7229,101,-57,-823
7239,99,-59,-819
7249,105,-59,-825
7259,96,-54,-826
7268,100,-58,-818
7278,97,-53,-821
7288,96,-66,-816
7298,101,-57,-823
7308,102,-60,-826
7318,98,-62,-828
7328,91,-63,-823
7337,102,-54,-820
7347,99,-61,-819
7357,95,-55,-823
7367,96,-58,-824
7377,100,-62,-824
7387,95,-57,-825
7397,102,-58,-824
7406,96,-56,-826
7416,95,-59,-819
7426,100,-50,-828
7436,99,-65,-825
7446,91,-61,-825
7456,97,-59,-823
7466,88,-64,-818
7475,96,-58,-824
7485,94,-56,-816
7495,104,-56,-828
7505,108,-66,-820
7515,105,-53,-825
7525,94,-62,-824
7534,99,-59,-829
7544,100,-66,-822
7554,102,-60,-822
7564,107,-57,-823
7574,89,-67,-821
7584,97,-67,-829
7593,99,-59,-819
7603,104,-54,-822
7613,97,-61,-831
7623,105,-51,-821
7633,93,-55,-825
7643,100,-62,-830
7653,88,-62,-822
7662,98,-58,-818
7672,91,-67,-825
7682,101,-51,-827
7692,107,-63,-825
7702,100,-56,-818
7712,103,-57,-819
7722,98,-58,-822
7731,96,-60,-828
7741,104,-58,-822
7751,100,-60,-820
7761,96,-60,-826
7771,105,-65,-821
7781,101,-65,-813
7791,97,-59,-823
7801,93,-57,-819
7810,102,-60,-820
7820,100,-62,-832
7830,102,-60,-826
7840,94,-64,-824
7850,95,-63,-825
7860,98,-62,-820
7870,105,-53,-825
7879,100,-56,-822
7889,93,-53,-823
7899,93,-61,-829
7909,95,-59,-815
7919,97,-65,-821
7929,96,-66,-830
7939,95,-65,-825
7948,97,-61,-829
7958,94,-58,-826
7968,100,-54,-818
7978,100,-58,-820
7988,101,-57,-827
7998,96,-62,-828
8008,98,-60,-826
